"Ad Set Name",Age,Gender,Reach,Impressions,Frequency,"Result Type",Results,"Cost per Result","Amount Spent (USD)","CPM (Cost per 1,000 Impressions)","Link Clicks","CPC (Cost per Link Click)","CTR (Link Click-Through Rate)","Unique Link Clicks","Reporting Starts","Reporting Ends"
"Ad Set for Ad A",45-54,male,6304,8446,1.3397842639594,"Link Clicks",195,0.17425641025641,33.98,4.02320625,195,0.17425641,2.3087852237746,168,2020-07-28,2020-08-02
"Ad Set for Ad B",65+,male,4624,5527,1.195285467128,"Link Clicks",74,0.41743243243243,30.89,5.58892709,74,0.41743243,1.338881852723,63,2020-07-28,2020-08-02
"Ad Set for Ad A",55-64,male,4968,6299,1.2679146537842,"Link Clicks",182,0.1660989010989,30.23,4.79917447,182,0.1660989,2.8893475154786,152,2020-07-28,2020-08-02
"Ad Set for Ad C",45-54,male,6224,7873,1.264942159383,"Link Clicks",173,0.17075144508671,29.54,3.75206402,173,0.17075145,2.1973834624667,144,2020-07-28,2020-08-02
"Ad Set for Ad C",35-44,male,6328,7896,1.2477876106195,"Link Clicks",133,0.21315789473684,28.35,3.59042553,133,0.21315789,1.6843971631206,118,2020-07-28,2020-08-02
"Ad Set for Ad B",55-64,male,4600,5632,1.224347826087,"Link Clicks",74,0.32878378378378,24.33,4.31995739,74,0.32878378,1.3139204545455,69,2020-07-28,2020-08-02
"Ad Set for Ad D",65+,male,3824,4612,1.2060669456067,"Link Clicks",65,0.36723076923077,23.87,5.17562879,65,0.36723077,1.4093668690373,60,2020-07-28,2020-08-02
"Ad Set for Ad D",45-54,male,5904,7097,1.202066395664,"Link Clicks",131,0.17770992366412,23.28,3.28025926,131,0.17770992,1.8458503593067,121,2020-07-28,2020-08-02
"Ad Set for Ad D",55-64,male,5064,5848,1.1548183254344,"Link Clicks",99,0.22060606060606,21.84,3.73461012,99,0.22060606,1.6928864569083,93,2020-07-28,2020-08-02
"Ad Set for Ad B",45-54,male,4576,5625,1.2292395104895,"Link Clicks",105,0.20666666666667,21.7,3.85777778,105,0.20666667,1.8666666666667,88,2020-07-28,2020-08-02
"Ad Set for Ad A",35-44,male,4432,5762,1.3000902527076,"Link Clicks",101,0.20079207920792,20.28,3.51961125,101,0.20079208,1.7528635890316,76,2020-07-28,2020-08-02
"Ad Set for Ad C",55-64,male,4096,4630,1.13037109375,"Link Clicks",110,0.17536363636364,19.29,4.1663067,110,0.17536364,2.3758099352052,92,2020-07-28,2020-08-02
"Ad Set for Ad A",65+,male,2528,3298,1.3045886075949,"Link Clicks",115,0.15730434782609,18.09,5.48514251,115,0.15730435,3.4869617950273,93,2020-07-28,2020-08-02
"Ad Set for Ad D",35-44,male,5064,5612,1.108214849921,"Link Clicks",65,0.27446153846154,17.84,3.17890235,65,0.27446154,1.1582323592302,63,2020-07-28,2020-08-02
"Ad Set for Ad C",25-34,male,4152,5190,1.25,"Link Clicks",57,0.30140350877193,17.18,3.31021195,57,0.30140351,1.0982658959538,51,2020-07-28,2020-08-02
"Ad Set for Ad B",65+,female,1840,2391,1.2994565217391,"Link Clicks",32,0.4890625,15.65,6.5453785,32,0.4890625,1.3383521539105,29,2020-07-28,2020-08-02
"Ad Set for Ad D",25-34,male,4168,4494,1.0782149712092,"Link Clicks",55,0.25927272727273,14.26,3.17311972,55,0.25927273,1.2238540275923,47,2020-07-28,2020-08-02
